id,name,symbol,price,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,volume_24h,last_updated
336,Stella,ALPHA,0.07639605812385178,24.2203,0.42244587,-0.1652628,11.99492161,0.93521077,-5.73783131,-25.53264637,62797559.77780617,3490400.48688055,2023-10-26 20:12:00
337,QuarkChain,QKC,0.009775502508946656,-38.3368,0.308603,-3.09563701,21.95931413,19.78421234,24.26197016,-3.0577016,62562302.0184475,6501589.42784804,2023-10-26 20:11:00
338,ConstitutionDAO,PEOPLE,0.012333460302118513,-28.3209,0.72365269,-0.69045473,39.37634956,23.9419676,32.90334723,-4.67904066,62409002.94079023,19949600.35881199,2023-10-26 20:11:00
339,Highstreet,HIGH,1.2304185165395218,35.115,0.63185364,-0.14554404,14.89249984,-3.19686426,13.0239988,8.61566082,61971248.63113167,8958917.76759567,2023-10-26 20:11:00
340,Wilder World,WILD,0.23764792826911801,-49.2711,0.12038199,-0.96952946,25.96769594,23.53430982,-5.73324021,-24.07300789,61802473.51150651,429600.1069391,2023-10-26 20:11:00
341,MetisDAO,METIS,13.470869186747443,-22.7814,0.60918762,-4.94262586,17.37194149,-4.43199434,10.96772481,-14.42631092,61173260.29570958,2957832.8543928,2023-10-26 20:11:00
342,Sweat Economy,SWEAT,0.009215498877517225,-32.2312,0.07997836,-3.79042488,1.80235419,12.7981666,35.17203998,59.36559018,60999275.55316856,1209165.28127156,2023-10-26 20:11:00
343,Celsius,CEL,0.253997507700336,116.0823,-1.84477485,34.25215456,77.95696472,80.5410013,106.93091505,43.39007207,60670738.7163338,4809299.99710656,2023-10-26 20:11:00
344,Ergo,ERG,1.033484374953782,37.0869,0.08814394,3.6393091,17.38840917,7.87163532,-5.69462041,-11.46738855,60601897.042883605,541809.0679156,2023-10-26 20:11:00
345,UniBot,UNIBOT,60.41122496501671,185.8968,0.60910615,-1.91442535,16.77880319,14.66779465,-57.32783302,-63.78215227,60411224.96501671,15512631.18874964,2023-10-26 20:11:00
346,Ankr Staked ETH,ankrETH,2040.27099889221,-57.8173,0.47926014,0.3860047,14.5044056,13.51667982,9.58093318,-3.03580158,59841148.39750852,19862.29717903,2023-10-26 20:11:00
